category,phrase
aggression,שטויות
aggression,שטות
aggression,מגוחך
aggression,בושה
aggression,שקר
aggression,שקרן
aggression,הזוי
aggression,מביך
aggression,חוצפה
aggression,זבל
aggression,גועל
aggression,מניפולצי
aggression,צביעות
aggression,בור 
aggression,עם הארץ
aggression,תתבייש
aggression,הבל
aggression,אין לך מושג
aggression,ונדליזם
aggression,וונדליזם
aggression,השחתה
aggression,מטומטם
aggression,אידיוט
aggression,דביל
aggression,טיפש
aggression,הזיה
aggression,קשקוש
aggression,פייק
aggression,דמגוגי
aggression,עזות מצח
aggression,שערורי
aggression,מזעזע
aggression,חצוף
aggression,אל תעז
aggression,איך אתה מעז
aggression,מי אתה בכלל
aggression,בערות
aggression,נלעג
aggression,עלוב
aggression,מגמתי
aggression,מוטה
aggression,תעמולה
aggression,סילוף
conciliation,מסכים
conciliation,מסכימה
conciliation,צודק
conciliation,צודקת
conciliation,תודה
conciliation,מקבל את
conciliation,בסדר גמור
conciliation,מצוין
conciliation,רעיון טוב
conciliation,אין בעיה
conciliation,מקובל עלי
conciliation,נשמע טוב
conciliation,פשרה
conciliation,מתנצל
conciliation,סליחה
conciliation,בהחלט
conciliation,נכון מאוד
conciliation,אתה צודק
conciliation,את צודקת
conciliation,שכנעת
conciliation,אשנה
conciliation,תיקנתי
conciliation,קיבלתי
conciliation,הסכמה
conciliation,מברך
conciliation,יפה מאוד
conciliation,עבודה יפה
conciliation,כל הכבוד
conciliation,אשמח
conciliation,אנא
conciliation,בבקשה
exhaustion,נמאס
exhaustion,שוב פעם
exhaustion,כמה פעמים
exhaustion,עייפתי
exhaustion,מיותר
exhaustion,אין טעם
exhaustion,ויתרתי
exhaustion,חבל על הזמן
exhaustion,לא משנה
exhaustion,עזבו
exhaustion,התעייפתי
exhaustion,מתיש
exhaustion,אין עם מי לדבר
exhaustion,חוזר על עצמו
exhaustion,במעגלים
exhaustion,לא מוביל לשום
exhaustion,אותו דבר שוב
exhaustion,בפעם המי יודע כמה
exhaustion,הרמתי ידיים
exhaustion,מייאש
exhaustion,אבסורד
